skill
python
react
javascript
html
css
tailwind css
bootstrap
mysql
mongodb
git
github
figma
canva
rest api
codeigniter
gsap
streamlit
pandas
numpy
scikit learn
machine learning
deep learning
tensorflow
pytorch
langchain
gen ai
docker
kubernetes
aws
azure
sqlpower bi
tableau
excel
fastapi
flask
django
api
nlp
computer vision
opencv
transformers
hugging face
llm
rag
vector database
pinecone
chromadb
faiss
prompt engineering
agentic ai
gemini
openai
mlops
ci cd
github actions
linux
render
railway
postgresql
snowflake
databricks
power bi
streamlit cloud
